site,period,metric,start_year,end_year,n_years,mean_sca,slope_per_year,slope_per_decade,ci95_low,ci95_high,ci95_low_per_decade,ci95_high_per_decade,p_value,r2,sen_slope_per_year,sen_slope_per_decade,sen_intercept,sen_ci95_low,sen_ci95_high,sen_ci95_low_per_decade,sen_ci95_high_per_decade
AMY,2016_2022,sca_harmonic,2016,2022,7,0.38849555320856943,0.017089656661281358,0.17089656661281358,-0.0331481122389831,0.0673274255615458,-0.33148112238983096,0.6732742556154581,0.4218820473361962,0.132646286013113,0.017799442042364222,0.17799442042364222,-35.563291749677404,-0.05636582348864727,0.061958260268054,-0.5636582348864727,0.61958260268054
ASC,2016_2022,sca_harmonic,2016,2022,7,0.1239480548941931,0.003931591477673199,0.039315914776731985,-0.037569481164194625,0.04543266411954102,-0.37569481164194624,0.4543266411954102,0.8172759680873849,0.011721690624378112,0.006099706512061983,0.06099706512061983,-12.21183932041316,-0.10764679679919228,0.07434542535370077,-1.076467967991923,0.7434542535370077
BHD,2016_2022,sca_harmonic,2016,2022,5,0.13997394087901094,0.02774647620353725,0.2774647620353725,-0.012786433837741931,0.06827938624481643,-0.1278643383774193,0.6827938624481643,0.11751233420851483,0.6127003460881892,0.026618319078717874,0.2661831907871787,-53.58175367204975,-0.009777728209686691,0.06774967575602715,-0.09777728209686691,0.6774967575602715
BRW,2016_2022,sca_harmonic,2016,2022,7,0.45684036021848423,0.00041199671861788425,0.004119967186178843,-0.05506511989718232,0.05588911333441809,-0.5506511989718231,0.5588911333441808,0.9855074932705896,7.288211437983527e-05,-0.00492241245211722,-0.0492241245211722,10.418593042241648,-0.043149152269897906,0.07916884380658629,-0.43149152269897906,0.7916884380658629
CBA,2016_2022,sca_harmonic,2016,2022,7,0.41622118213164655,0.006998927852260049,0.06998927852260049,-0.039777138982061734,0.05377499468658183,-0.3977713898206173,0.5377499468658183,0.7163300235013337,0.028737251402501385,0.01095118296416657,0.1095118296416657,-21.724059828970976,-0.08555378623180077,0.07965099266227012,-0.8555378623180077,0.7965099266227011
CGO,2016_2022,sca_harmonic,2016,2022,7,0.18001208355590256,0.01468433889587262,0.1468433889587262,-0.0387112400295683,0.06807991782131355,-0.387112400295683,0.6807991782131355,0.5111810974427752,0.09086933881645964,0.013561312300670316,0.13561312300670317,-27.232414785875463,-0.07862278569065624,0.10574541029199687,-0.7862278569065624,1.0574541029199687
GMI,2016_2022,sca_harmonic,2018,2022,5,0.24725730026571338,0.0016054781367497114,0.016054781367497113,-0.14320768311750315,0.14641863939100258,-1.4320768311750314,1.4641863939100257,0.9740709368046113,0.00041477585373184134,-0.01975139477538944,-0.1975139477538944,40.227858949205064,-0.14212987794351895,0.16712044122164965,-1.4212987794351895,1.6712044122164964
KUM,2016_2022,sca_harmonic,2016,2022,7,0.2662381384494675,0.014706540953985691,0.14706540953985692,-0.0283479643674694,0.057761046275440785,-0.28347964367469397,0.5776104627544079,0.4200968791080341,0.13359699249161983,0.0162517419507629,0.162517419507629,-32.551321075482804,-0.0585579462970392,0.07438832749543633,-0.585579462970392,0.7438832749543633
MEX,2016_2022,sca_harmonic,2016,2022,7,0.19683158061349187,0.008634414699953349,0.0863441469995335,-0.02905251100575033,0.046321340405657024,-0.2905251100575033,0.46321340405657024,0.581499442452632,0.06487074591919317,0.009479897316109404,0.09479897316109404,-18.946092553395967,-0.03886935110047001,0.05789814678139218,-0.3886935110047001,0.5789814678139218
MHD,2016_2022,sca_harmonic,2016,2022,7,0.2952221758534166,0.02000394426950704,0.2000394426950704,-0.030054551592601498,0.07006244013161558,-0.30054551592601497,0.7006244013161558,0.35141448460472086,0.1742646908572858,0.021268599060853547,0.21268599060853546,-42.64055056023216,-0.03984748700909055,0.09105019239808254,-0.3984748700909055,0.9105019239808254
MID,2016_2022,sca_harmonic,2016,2022,7,0.29744753811809294,0.0022196613570984298,0.0221966135709843,-0.04354449821621804,0.0479838209304149,-0.43544498216218036,0.479838209304149,0.9056353694656222,0.0030993256771967292,-0.0011615801311786005,-0.011615801311786005,2.6582113276672312,-0.0871433747883737,0.06828859070022689,-0.871433747883737,0.6828859070022688
MLO,2016_2022,sca_harmonic,2016,2022,7,0.23854929599861308,0.01251641994811665,0.1251641994811665,-0.03333267204858447,0.05836551194481777,-0.3333267204858447,0.5836551194481777,0.5141474221146765,0.08965934774558393,0.01100904163604488,0.1100904163604488,-22.000617490864602,-0.08732910526299753,0.07191973997926743,-0.8732910526299753,0.7191973997926743
NWR,2016_2022,sca_harmonic,2016,2022,7,0.2667772337010527,0.002399901454876892,0.02399901454876892,-0.03361470279749722,0.038414505707250995,-0.3361470279749722,0.38414505707250995,0.8707079443216161,0.005834198594933282,-0.0018319241788066487,-0.018319241788066487,3.9449682812588396,-0.04672690051234022,0.04343689004471791,-0.4672690051234022,0.4343689004471791
SMO,2016_2022,sca_harmonic,2016,2022,7,0.09997745029738378,0.012657154689013796,0.12657154689013797,-0.04201308245486777,0.06732739183289536,-0.4201308245486777,0.6732739183289537,0.5776624828945005,0.06615147920761022,0.01205264854404862,0.12052648544048619,-24.27408599039516,-0.0522680222554797,0.0821238416539374,-0.522680222554797,0.8212384165393739
SPO,2016_2022,sca_harmonic,2016,2022,7,0.1937444677395927,0.01152861949276681,0.1152861949276681,-0.04656330592190628,0.06962054490743991,-0.4656330592190628,0.6962054490743991,0.6316652802244125,0.049474314986925116,0.014486006887650421,0.1448600688765042,-29.100556594543086,-0.0842393178517919,0.03718069222579304,-0.842393178517919,0.3718069222579304
SUM,2016_2022,sca_harmonic,2016,2022,7,0.31057359890576747,0.007637261335867028,0.07637261335867028,-0.06469357209493154,0.07996809476666558,-0.6469357209493154,0.7996809476666558,0.796915960749309,0.014520079995069879,-0.005674232588148809,-0.05674232588148809,11.760940323162137,-0.08512547467655505,0.0888597266012585,-0.8512547467655506,0.888597266012585
TAP,2016_2022,sca_harmonic,2016,2022,7,0.35897937649594663,0.020017724895346728,0.20017724895346728,-0.026213410367918376,0.06624886015861184,-0.26213410367918377,0.6624886015861184,0.31631827274490154,0.19857188363159906,0.019064608776613298,0.19064608776613298,-38.15978821769238,-0.05633823099230325,0.09446744854552984,-0.5633823099230325,0.9446744854552984
