site,year,n_months,n_quarters,first_month,last_month,usable,sca_raw_range,sca_detrended_range,sca_harmonic
CGO,2001,1,1,1,1,False,0.0,0.0,
CGO,2002,12,4,1,12,True,0.2959999999999994,0.301639043515344,0.12657007946340423
CGO,2003,12,4,1,12,True,0.18999999999999773,0.17120318828219183,0.04445074486019881
CGO,2004,12,4,1,12,True,0.13700000000000045,0.14263904351534507,0.10599488076721926
CGO,2005,8,4,1,12,True,0.3049999999999997,0.29648127531287827,0.30277595066152246
CGO,2006,12,4,1,12,True,0.14699999999999847,0.131962550625758,0.08176585041833986
CGO,2007,12,4,1,12,True,0.1290000000000049,0.14403744937425245,0.0938963138222265
CGO,2008,12,4,1,12,True,0.375,0.36560159414108995,0.35645269957343756
CGO,2009,12,4,1,12,True,0.1630000000000038,0.1517219129693146,0.15910045061505274
CGO,2010,12,4,1,12,True,0.15099999999999625,0.14348127531287247,0.11176555650981969
CGO,2011,9,4,1,12,True,0.17200000000000415,0.16072191296931493,0.11332965971425518
CGO,2012,12,4,1,12,True,0.3160000000000025,0.3093609564846602,0.20596479350729022
CGO,2013,9,4,1,12,True,0.21800000000000352,0.22339840585890158,0.14540047130613473
CGO,2014,12,4,1,12,True,0.2710000000000008,0.26160159414109785,0.2417525878405261
CGO,2015,12,4,1,12,True,0.14000000000000057,0.1324812753128768,0.09831363290898502
CGO,2016,12,4,1,12,True,0.08100000000000307,0.07160159414109302,0.06730518820016222
CGO,2017,12,4,1,12,True,0.16499999999999915,0.15272191296931226,0.16173578351497575
CGO,2018,12,4,1,12,True,0.13799999999999812,0.11820318828218745,0.09114853558643386
CGO,2019,12,4,1,12,True,0.42200000000000415,0.43327808703068627,0.3845414190761528
CGO,2020,12,4,1,12,True,0.26300000000000523,0.24796255062575767,0.23168322273016523
CGO,2021,12,4,1,12,True,0.19899999999999807,0.1839625506257505,0.17499737377924438
CGO,2022,12,4,1,12,True,0.14800000000000324,0.13572191296931635,0.14867306200418415
EIC,2015,1,1,12,12,False,0.0,0.0,
EIC,2016,12,4,1,12,True,0.09900000000000375,0.09527666985265881,0.08393345254657134
EIC,2017,8,3,1,12,True,0.17900000000000205,0.12559132632414105,0.11357591685354275
EIC,2018,8,3,1,12,True,0.15000000000000568,0.1985533397053416,0.15157433128177672
EIC,2019,6,3,1,9,False,0.1490000000000009,0.12472333014733294,0.11950325963819856
GMI,2016,6,3,1,12,False,0.22000000000000597,0.1916806014462722,0.17524924418470914
GMI,2017,6,2,1,6,False,0.20199999999999818,0.22559949879475028,0.21992774475571214
GMI,2018,12,4,1,12,True,0.18599999999999994,0.215039298312675,0.14038144474034697
GMI,2019,12,4,1,12,True,0.42199999999999704,0.39368060144626327,0.3761909776462698
GMI,2020,12,4,1,12,True,0.3429999999999964,0.31468060144626264,0.3372441438150997
GMI,2021,9,3,1,9,True,0.10499999999999687,0.09556020048210456,0.09193122175923195
GMI,2022,12,4,1,12,True,0.39799999999999613,0.37440050120522983,0.29053871336761866
KUM,1999,12,4,1,12,True,0.2530000000000001,0.24043570697377703,0.2291761844233635
KUM,2000,12,4,1,12,True,0.14699999999999847,0.15085476434206413,0.06084953216458726
KUM,2001,1,1,1,1,False,0.0,0.0,
KUM,2002,12,4,1,12,True,0.2980000000000018,0.3076369108551802,0.2679529152832626
KUM,2003,12,4,1,12,True,0.2849999999999966,0.27729047131584394,0.23125059625801947
KUM,2004,12,4,1,12,True,0.21000000000000085,0.20036308914481538,0.18926930027227307
KUM,2005,9,3,1,9,True,0.21000000000000085,0.20229047131586242,0.2019585279521928
KUM,2006,11,4,2,12,True,0.17499999999999716,0.1757095286841377,0.14465893887733394
KUM,2007,9,4,1,12,True,0.2469999999999999,0.23543570697378158,0.1949619830789573
KUM,2008,12,4,1,12,True,0.33500000000000085,0.3272904713158624,0.2755483801845684
KUM,2009,12,4,1,12,True,0.28300000000000125,0.2752904713158557,0.23701655850170136
KUM,2010,12,4,1,12,True,0.259999999999998,0.25229047131585247,0.22797237077658478
KUM,2011,12,4,1,12,True,0.277000000000001,0.2692904713158484,0.1959855031876615
KUM,2012,12,4,1,12,True,0.22400000000000375,0.2317095286841564,0.2063992482891672
KUM,2013,12,4,1,12,True,0.26500000000000057,0.25729047131586213,0.16155054445301759
KUM,2014,12,4,1,12,True,0.28600000000000136,0.2763630891448159,0.24211658637475691
KUM,2015,12,4,1,12,True,0.15800000000000125,0.1502904713158557,0.14075257817704925
KUM,2016,12,4,1,12,True,0.24499999999999744,0.23536308914481907,0.20681426687236212
KUM,2017,12,4,1,12,True,0.2749999999999986,0.2653630891448131,0.23804812850859997
KUM,2018,12,4,1,12,True,0.20700000000000074,0.1992904713158552,0.16407541302212506
KUM,2019,12,4,1,12,True,0.48499999999999943,0.4772904713158539,0.42997924935867116
KUM,2020,12,4,1,12,True,0.3019999999999996,0.2904357069737884,0.28680335436088866
KUM,2021,12,4,1,12,True,0.2629999999999981,0.25336308914481265,0.2282454080638494
KUM,2022,12,4,1,12,True,0.35899999999999466,0.3493630891448092,0.3097011489597763
LLB,2008,12,4,1,12,True,1.418999999999997,1.4319476467477443,1.12843274554463
LLB,2009,12,4,1,12,True,0.8719999999999999,0.8525785298783717,0.8663023040073725
LLB,2010,12,4,1,12,True,1.0859999999999985,1.0957107350608197,0.7329778459982796
LLB,2011,12,4,1,12,True,0.6089999999999947,0.5895785298783665,0.41475688020988305
LLB,2012,12,4,1,12,True,1.1379999999999981,1.1088677948175487,0.8798329817710532
LLB,2013,1,1,1,1,False,0.0,0.0,
MEX,2009,12,4,1,12,True,0.2469999999999999,0.22769756145400777,0.211438930322361
MEX,2010,12,4,1,12,True,0.1869999999999976,0.17091463454499944,0.17663438052897398
MEX,2011,12,4,1,12,True,0.277000000000001,0.264131707636011,0.20088806996797892
MEX,2012,9,3,4,12,True,0.14999999999999858,0.15965121927299464,0.08402668265625014
MEX,2013,12,4,1,12,True,0.2010000000000005,0.18613170763600806,0.18217298109101393
MEX,2014,12,4,1,12,True,0.13799999999999812,0.12191463454499996,0.1162436150888548
MEX,2015,12,4,1,12,True,0.13400000000000034,0.13065121927298406,0.10056221486232847
MEX,2016,12,4,1,12,True,0.20199999999999818,0.185914634545,0.1653804358805871
MEX,2017,12,4,1,12,True,0.20000000000000284,0.18513170763599618,0.18045401451930404
MEX,2018,12,4,1,12,True,0.13100000000000023,0.1243024385459961,0.10205910827964226
MEX,2019,12,4,1,12,True,0.382000000000005,0.36591463454502104,0.3390748762247636
MEX,2020,9,4,1,12,True,0.34899999999999665,0.3329146345449985,0.20330002514502474
MEX,2021,12,4,1,12,True,0.21299999999999386,0.1904804883630078,0.16508578132176796
MEX,2022,12,4,1,12,True,0.26500000000000057,0.2511317076359987,0.22246682292335362
MHD,1999,1,1,1,1,False,0.0,0.0,
MHD,2000,4,2,9,12,False,0.1559999999999988,0.1509472404460226,0.7871139919011934
MHD,2001,2,2,1,5,False,0.20300000000000296,0.21310551910794118,
MHD,2002,1,1,5,5,False,0.0,0.0,
