period,site,year,n_months,n_quarters,first_month,last_month,usable,sca_raw_range,sca_detrended_range,sca_harmonic
2016_2022,MLO,2020,12,4,1,12,True,0.3290000000000006,0.31799777781242966,0.30726381565280664
2016_2022,MLO,2021,12,4,1,12,True,0.2220000000000013,0.21283148151035647,0.18828474899024047
2016_2022,MLO,2022,12,4,1,12,True,0.29700000000000415,0.2878314815103593,0.25966469721814495
2016_2022,NWR,2016,12,4,1,12,True,0.2680000000000007,0.25849881948109044,0.2518091367846359
2016_2022,NWR,2017,12,4,1,12,True,0.24199999999999733,0.2343990555848734,0.21503284837974398
2016_2022,NWR,2018,12,4,1,12,True,0.2989999999999995,0.28949881948109635,0.2278237058353672
2016_2022,NWR,2019,9,4,1,12,True,0.37999999999999545,0.3723990555848644,0.3809982932488167
2016_2022,NWR,2020,12,4,1,12,True,0.35999999999999943,0.3504988194810963,0.34385684134412736
2016_2022,NWR,2021,12,4,1,12,True,0.23499999999999943,0.2254988194810963,0.20710221860288205
2016_2022,NWR,2022,12,4,1,12,True,0.3119999999999976,0.29869834727353606,0.24081759171179606
2016_2022,SMO,2016,12,4,1,12,True,0.06700000000000017,0.05131456325013062,0.024053474406853997
2016_2022,SMO,2017,12,4,1,12,True,0.045000000000001705,0.032624410499970224,0.020004433210761632
2016_2022,SMO,2018,12,4,1,12,True,0.07100000000000506,0.07824882099993147,0.06207682907939469
2016_2022,SMO,2019,12,4,1,12,True,0.27300000000000324,0.2585023580001504,0.2370717426974438
2016_2022,SMO,2020,12,4,1,12,True,0.28000000000000114,0.26369015275017205,0.26489257129163796
2016_2022,SMO,2021,12,4,1,12,True,0.030999999999998806,0.024563384250058107,0.011475425464589975
2016_2022,SMO,2022,12,4,1,12,True,0.14300000000000068,0.12306574225021905,0.08026767593100474
2016_2022,SPO,2016,12,4,1,12,True,0.11899999999999977,0.1097804923695449,0.094065160074332
2016_2022,SPO,2017,12,4,1,12,True,0.1600000000000037,0.1452487877912816,0.1183312171456002
2016_2022,SPO,2018,12,4,1,12,True,0.5159999999999982,0.5086243938956372,0.41921314806795984
