COUNTRY,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Slovakia,26.97712336,26.84905113,26.72097889,26.59290666,26.46483442,26.33676219,26.20868995,26.08061771,25.95254548,25.82447324,25.78439769,25.03219697,25.28375636,25.31471898,25.55458124,25.26858822,23.51931577,24.42395456,24.62833834,23.42003859,21.4317079,18.46421072,15.86694579,15.88350762,16.29966806,15.40313475,13.50920576,12.88281386,10.71667438,7.229406519,6.104950187,5.916964332,5.811825986,5.469108208,5.423416557,4.682212524,4.38959921,4.00987924,3.966094065,4.163511518,4.178646838,4.05997862,3.905335833,3.904627326,3.915221445,3.7747998,3.625084268,3.550858772,3.283330232,2.998749255,2.327882063,2.28963452,2.055219756
Slovenia,21.57966965,21.57966965,21.68472594,22.77961061,23.57147425,24.87790011,25.00654473,26.05282878,27.88740725,29.74628139,29.2395742,34.82948781,38.19768314,42.73077438,45.64250279,47.6542662,48.19029704,48.71792783,46.5273746,46.76694534,52.33970838,48.29363947,53.26919718,45.84865273,40.80983091,39.25424617,37.34246076,40.21500856,40.75420545,37.09476064,36.23007829,34.39320641,39.94318334,40.1832436,40.75240178,40.20549278,41.06770519,41.94080603,40.10624654,39.29872327,40.40652803,40.57147211,36.82206404,35.90365151,27.27348887,28.75357575,31.40177621,31.11954918,30.05145243,29.71620907,28.85103174,23.73849667,22.20585517
China,3738.611459,3697.129744,3826.858616,3852.168434,3774.71347,4354.885788,4314.96313,4856.217205,5397.171121,5485.907427,5385.202159,5268.942725,5548.328296,5856.125618,6383.003481,6510.590349,6596.329371,6768.816931,7088.06166,7579.121538,7830.71373,7683.44805,7743.86083,7921.716327,8409.521498,9421.444049,9439.59864,9013.989728,8745.895848,8425.966624,8768.874371,9331.365452,9732.947472,11562.96194,13447.91652,15181.02725,16551.24134,17511.38698,17628.39175,18365.94791,19860.56705,22761.33492,22433.80239,22822.02425,22774.12238,22178.97628,20226.36943,20686.12576,21869.27427,22611.26611,23032.62083,23854.2388,26310.01339
Mongolia,6.471683408,6.471683408,5.716316054,6.744875805,7.211749019,8.629067617,9.545272827,11.35405485,13.2133687,13.13182061,13.4433239,12.69774344,14.65654695,14.83211618,16.20551807,16.77728646,17.78637141,21.37817124,23.08896731,22.37414959,19.55767872,46.39703539,41.25528618,33.88779689,29.6754943,28.39661237,7.961427501,7.612340629,7.823425632,7.817109308,8.095132153,8.070072896,8.708671279,8.395145375,8.802528249,63.03731083,77.11427577,93.67441604,104.2349489,179.0771911,357.779233,446.4910804,387.1125009,361.9095376,374.1345044,302.1200916,463.6682411,578.8898879,616.0705337,646.2077827,565.1658734,427.5683182,420.3439791
Taiwan_Province of China,64.6974408,64.6974408,61.78896216,52.54053744,46.3286318,49.55451143,51.08088457,47.00489276,43.59028326,41.37944053,39.15966759,37.30684837,37.3502255,35.45775566,31.97855129,29.82503518,28.08772519,24.98401321,22.26010213,15.4270361,11.0074655,9.907050785,8.710440497,8.718529574,8.298696948,7.658790743,6.196298004,6.71862798,7.187513575,6.826949696,6.953409511,5.717258086,5.888709844,5.789795273,5.867608008,5.812216172,5.667141445,5.593285195,5.58009668,5.034088828,7.053263438,7.182511875,6.794766563,7.488486563,8.278484063,7.940856094,8.211222422,7.986586641,8.367534844,8.143650703,7.853487188,7.836013406,7.818578504
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294857938,0.589715798,0.344001767,,,,,0.049143887,0.053173866,0.053173866,0.057972043,0.061478339,0.061478339,0.063945229
Afghanistan,0.113243719,0.113243719,0.099567241,0.117864232,0.126047956,0.151101245,0.167273186,0.199187006,0.231881911,0.230126297,0.235397086,0.28618906,0.306341175,0.306732772,0.342734177,2.429153158,2.568915044,2.668038089,2.200433144,2.065882679,1.649827928,1.433247577,0.387476249,0.097321153,0.082946999,0.090796226,0.059982862,0.03208906,0.022428519,0.015321555,0.012555949,0.531129598,0.451720515,0.629181811,0.362251991,0.600957013,0.672224028,4.327869349,6.317930631,7.844175691,11.95530461,24.31835445,20.29529475,21.97814284,25.35371481,22.28056475,27.74992423,35.802549,39.95665714,35.01335369,8.181124913,24.65779116,24.04622256
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.364977423,4.025775282,5.155119462,8.994883539,11.00112945,9.366903469,8.862021669,11.09413567,11.35986065,12.58221044,8.98159729,13.57868779,15.42095133,12.26700367,10.70479054,10.77707994,10.77707994,10.21675837
Bhutan,4.13467E-05,4.13467E-05,3.65208E-05,4.30921E-05,4.60749E-05,5.513E-05,6.09835E-05,7.25395E-05,8.44184E-05,8.38974E-05,8.58876E-05,0.000179085,0.000238652,0.000312469,0.000804806,0.005506601,0.010937217,0.024895068,0.024933496,0.030589098,0.034524191,0.038331496,0.131074494,0.544569244,0.753382245,0.979300518,1.089613649,0.737746913,0.591103369,0.906947384,0.822674162,1.278662305,1.34296106,1.015231063,0.680335227,1.32238442,1.495691991,1.3034644,1.297706707,1.049209935,1.232936918,1.383747137,1.375924498,1.080083478,1.165051182,1.183631753,1.638939,2.254020822,2.602105177,2.578492082,19.22421837,2.487323549,2.657126167
India,674.9488401,671.209454,710.6065498,691.0857043,763.6842306,852.4562777,844.6177257,806.0763268,777.7342161,761.8155691,862.7642231,905.8653756,909.7580463,911.8988206,954.7983141,951.6975284,1273.706668,1589.186508,1929.914301,2148.817241,898.6434913,1033.755714,1037.837169,1067.509014,1094.813167,1164.795311,1222.6778,1266.068061,1225.733756,1256.074666,1292.268182,1333.011151,1375.783926,1455.752912,1527.890501,1611.440821,1684.609878,1789.526538,1939.656323,2100.445419,2106.995606,2191.537264,2310.821355,1295.461028,1451.921423,1561.758677,1608.295704,1610.119077,1811.927541,1724.828603,1620.815475,1972.418658,2210.060864
