Year,Scenario,FF_combined_mean,FF_combined_std,Mic_combined_mean,Mic_combined_std,FF_dD_mean,FF_dD_std
2012,D: Inverse-uncertainty weighted,130.46350572655953,25.63025472908977,423.1601851166267,25.63025472908977,52.99097252803331,44.73018748581571
2013,D: Inverse-uncertainty weighted,149.76030574583828,26.086754379482617,417.49986260816667,26.086754379482617,101.03291928087492,45.664298072387574
2014,D: Inverse-uncertainty weighted,163.45655407834047,25.40752914356845,414.8980961903567,25.407529143568446,109.03291389617821,43.494218578715675
2015,D: Inverse-uncertainty weighted,146.8408244881818,25.747265582574435,428.3339308118739,25.747265582574435,99.8581511719898,43.35067389257117
2016,D: Inverse-uncertainty weighted,143.07556535425127,26.342355119555037,429.2527268687204,26.342355119555037,95.09665558932818,44.93953564812727
2017,D: Inverse-uncertainty weighted,130.4860648381523,27.169733635035705,448.6373564263447,27.169733635035705,77.65902301996935,45.868510612254035
2018,D: Inverse-uncertainty weighted,157.2690899672997,26.705273154338194,429.66241973486683,26.705273154338197,106.87649506315206,45.39759251892081
2019,D: Inverse-uncertainty weighted,118.93782535158013,28.55746752078738,480.79683303544414,28.557467520787377,47.282886069765446,49.01258480967038
2020,D: Inverse-uncertainty weighted,143.88590760255218,28.619185185882245,472.1893752400297,28.619185185882245,95.00728960779833,47.67826438489134
2021,D: Inverse-uncertainty weighted,157.80663443273224,29.092618432180103,465.1813816004003,29.092618432180103,131.78687682685367,48.709061393460416
