site_code,site_name,country,latitude,longitude,elevation_m,labs,n_observations,year_start,year_end,data_source
MLO,"Mauna Loa, Hawaii",United States,19.5362,-155.5763,3397.0,NOAA,277734,1983.3,2020.1,Basu2022_ObsPack
MNM,Minamitorishima,Japan,24.28,153.98,8.0,JMA,137341,2000.0,2018.0,Basu2022_ObsPack
MQA,Macquarie Island,Australia,-54.483,158.967,6.0,CSIRO,771,2000.0,2017.0,Basu2022_ObsPack
MRC,Marcellus Pennsylvania,United States,41.4662,-76.4188,592.0,NOAA,784,2015.4,2020.0,Basu2022_ObsPack
MSH,"Mashpee, Massachusetts",United States,41.6568,-70.4973,32.3,NOAA,348,2016.4,2020.0,Basu2022_ObsPack
MVY,"Marthas Vineyard, Massachusetts",United States,41.325,-70.5667,0.0,NOAA,210,2007.7,2011.2,Basu2022_ObsPack
MWO,Mt. Wilson Observatory,United States,34.2246,-118.0586,1728.0,NOAA,3788,2010.3,2020.1,Basu2022_ObsPack
NAT,Farol De Mae Luiza Lighthouse,Brazil,-5.7952,-35.1853,50.0,NOAA,770,2010.7,2020.0,Basu2022_ObsPack
NEB,"NE Baltimore, Maryland",United States,39.3154,-76.583,44.0,NOAA,48,2018.3,2019.6,Basu2022_ObsPack
NGL,Neuglobsow,Germany,53.17,13.03,65.0,UBA,116056,2000.0,2014.0,Basu2022_ObsPack
NGM,Western Pacific Ocean,N/A,0.0,152.0,,TU,629,2006.2,2012.7,Basu2022_ObsPack
NHA,"Offshore Portsmouth, New Hampshire (Isles of Shoals)",United States,42.95,-70.63,0.0,NOAA,3789,2003.7,2020.1,Basu2022_ObsPack
NMB,Gobabeb,Namibia,-23.58,15.03,456.0,MPI-BGC; NOAA,1531,1997.0,2019.7,Basu2022_ObsPack
NOV,Novosibirsk,Russia,55.0,83.0,0.0,NIES,2524,2000.1,2016.0,Basu2022_ObsPack
NOY,Noyabrsk,Russia,63.4292,75.78,108.0,NIES,84296,2005.8,2018.0,Basu2022_ObsPack
NSA,"North Slope, Alaska",United States,70.17970275878906,-150.59689331054688,,NOAA,379,2015.3,2016.6,Basu2022_ObsPack
NWB,NW Baltimore,United States,39.3445,-76.6851,135.0,NOAA,54,2018.3,2019.6,Basu2022_ObsPack
NWF,"Niwot Ridge Forest, Colorado",United States,40.03,-105.55,3050.0,NOAA,893,2006.1,2009.9,Basu2022_ObsPack
NWR,"Niwot Ridge, Colorado",United States,40.0531,-105.5864,3523.0,NOAA,7369,1983.4,2020.1,Basu2022_ObsPack
NYA,"Ny-Alesund, Svalbard",Norway and Sweden,78.917,11.933,40.0,NIPR,947,2000.0,2020.0,Basu2022_ObsPack
NZL,Kaitorete Spit,New Zealand,-43.83,172.63,3.0,NOAA,182,1983.4,1985.3,Basu2022_ObsPack
OBN,Obninsk,Russia,55.11,36.6,183.0,NOAA,455,2004.0,2009.3,Basu2022_ObsPack
