site_code,site_name,country,latitude,longitude,elevation_m,lab,project,n_observations,year_start,year_end,file
DSI,Dongsha Island,Taiwan,20.6992,116.7297,3.0,NOAA,surface-flask,881,2010.2,2020.0,ch4_DSI_surface_event_NOAA.nc
EGB,"Egbert, Ontario",Canada,44.231,-79.7838,251.0,EC,surface-insitu,86187,2005.2,2017.0,ch4_EGB_surface_hourly_EC.nc
EIC,Easter Island,Chile,-27.1597,-109.4284,47.0,NOAA,surface-flask,1866,1994.0,2019.9,ch4_EIC_surface_event_NOAA.nc
ESP,"Estevan Point,  British Columbia",Canada,49.383,-126.5441,7.0,NOAA,aircraft-flask,4635,2002.9,2019.9,ch4_ESP_aircraft_event_NOAA.nc
ESP,"Estevan Point,  British Columbia",Canada,49.383,-126.5441,7.0,EC,surface-flask,1300,2000.0,2016.0,ch4_ESP_surface_event_EC.nc
ESP,"Estevan Point,  British Columbia",Canada,49.383,-126.5441,7.0,EC,surface-insitu,62586,2009.2,2017.4,ch4_ESP_surface_hourly_EC.nc
EST,"Esther, Alberta",Canada,51.6707,-110.206,707.0,EC,surface-insitu,62329,2010.1,2017.4,ch4_EST_surface_hourly_EC.nc
ETL,"East Trout Lake, Saskatchewan",Canada,54.3541,-104.9868,493.0,NOAA,aircraft-flask,3243,2005.8,2020.1,ch4_ETL_aircraft_event_NOAA.nc
ETL,"East Trout Lake, Saskatchewan",Canada,54.3541,-104.9868,493.0,EC,surface-insitu,90593,2005.7,2017.4,ch4_ETL_surface_hourly_EC.nc
FAM,FAAM Aircraft,United Kingdom,52.1791,1.0945,-9999.99,NOAA,aircraft-flask,22,2014.5,2015.4,ch4_FAM_aircraft_event_NOAA.nc
FKL,"Finokalia, Crete",Greece,35.3378,25.6694,150.0,LSCE,surface-flask,390,2000.5,2017.6,ch4_FKL_surface_event_LSCE.nc
FKL,"Finokalia, Crete",Greece,35.3378,25.6694,150.0,LSCE,surface-insitu,29578,2014.4,2018.1,ch4_FKL_surface_hourly_LSCE.nc
FNE,"Fort Nelson, British Columbia",Canada,58.8412,-122.5737,361.0,EC,surface-insitu,14431,2014.5,2017.4,ch4_FNE_surface_hourly_EC.nc
FSD,Fraserdale,Canada,49.8752,-81.57,210.0,EC,surface-insitu,124100,2000.0,2017.4,ch4_FSD_surface_hourly_EC.nc
FTL,Fortaleza,Brazil,-3.52,-38.28,3.0,NOAA,aircraft-flask,162,2000.9,2003.2,ch4_FTL_aircraft_event_NOAA.nc
FWI,"Fairchild, Wisconsin",United States,44.66,-90.96,334.3,NOAA,aircraft-flask,381,2004.7,2005.9,ch4_FWI_aircraft_event_NOAA.nc
GIF,Gif sur Yvette,France,48.71,2.1475,160.0,LSCE,surface-insitu,51250,2004.7,2013.0,ch4_GIF_surface_hourly_LSCE.nc
GMI,Mariana Islands,Guam,13.386,144.656,0.0,NOAA,surface-flask,5067,1983.3,2020.0,ch4_GMI_surface_event_NOAA.nc
GOZ,"Dwejra Point, Gozo",Malta,36.048,14.889,1.0,NOAA,surface-flask,310,1993.8,1999.1,ch4_GOZ_surface_event_NOAA.nc
GPA,Gunn Point,Australia,-12.2488,131.0453,25.0,CSIRO,surface-flask,89,2010.6,2015.8,ch4_GPA_surface_event_CSIRO.nc
GSN,"Gosan, Cheju Island",Republic of Korea,33.28,126.15,72.0,NIER,surface-insitu,64961,2002.1,2011.4,ch4_GSN_surface_hourly_NIER.nc
HAA,"Molokai Island, Hawaii",United States,21.23,-158.95,3.0,NOAA,aircraft-flask,2628,1999.4,2008.3,ch4_HAA_aircraft_event_NOAA.nc
HAT,Hateruma Island,Japan,24.05,123.8,10.0,NIES,surface-insitu,134193,2000.0,2016.0,ch4_HAT_surface_hourly_NIES.nc
HBA,"Halley Station, Antarctica",United Kingdom,-75.605,-26.21,30.0,NOAA,surface-flask,2600,1983.0,2019.0,ch4_HBA_surface_event_NOAA.nc
HFM,"Harvard Forest, Massachusetts",United States,42.5378,-72.1714,340.0,NOAA,aircraft-flask,1734,1999.9,2007.9,ch4_HFM_aircraft_event_NOAA.nc
HFM,"Harvard Forest, Massachusetts",United States,42.5378,-72.1714,340.0,NOAA,surface-flask,12,2016.2,2016.6,ch4_HFM_surface_event_NOAA.nc
HIL,"Homer, Illinois",United States,40.07,-87.91,201.5,NOAA,aircraft-flask,3426,2004.7,2020.1,ch4_HIL_aircraft_event_NOAA.nc
HIP,HIPPO (HIAPER Pole-to-Pole Observations),United States,14.7446,-154.6992,-9999.99,NOAA,aircraft-flask,1416,2009.0,2011.7,ch4_HIP_aircraft_event_NOAA.nc
HLE,Hanle,India,32.78,78.96,4517.0,LSCE,surface-flask,321,2000.9,2016.3,ch4_HLE_surface_event_LSCE.nc
HNP,"Hanlan's Point, Ontario",Canada,43.6122,-79.3887,87.0,EC,surface-insitu,17762,2014.5,2017.3,ch4_HNP_surface_hourly_EC.nc
HOW,"Howland, Maine",United States,42.2,-68.13,-9999.99,NOAA,aircraft-flask,32,1997.0,1997.5,ch4_HOW_aircraft_event_NOAA.nc
HPB,Hohenpeissenberg,Germany,47.8011,11.0245,936.0,NOAA,surface-flask,1411,2006.3,2019.9,ch4_HPB_surface_event_NOAA.nc
HPB,Hohenpeissenberg,Germany,47.8011,11.0245,936.0,DWD,surface-insitu,34288,2015.7,2017.0,ch4_HPB_surface_hourly_DWD.nc
HSU,Humboldt State University,United States,41.0588,-124.75,0.0,NOAA,surface-flask,172,2008.4,2017.4,ch4_HSU_surface_event_NOAA.nc
HUN,Hegyhatsal,Hungary,46.95,16.65,248.0,NOAA,surface-flask,2664,1993.2,2019.9,ch4_HUN_surface_event_NOAA.nc
HUN,Hegyhatsal,Hungary,46.95,16.65,248.0,ELTE,surface-insitu,38169,2006.2,2014.8,ch4_HUN_surface_hourly_ELTE.nc
ICE,"Storhofdi, Vestmannaeyjar",Iceland,63.3998,-20.2884,118.0,NOAA,surface-flask,2438,1992.8,2019.9,ch4_ICE_surface_event_NOAA.nc
IGR,Igrim,Russia,63.1903,64.4156,9.0,NIES,surface-insitu,107699,2005.3,2013.6,ch4_IGR_surface_hourly_NIES.nc
INU,"Inuvik,Northwest Territories",Canada,68.3178,-133.5342,113.0,EC,surface-insitu,44455,2012.1,2017.5,ch4_INU_surface_hourly_EC.nc
INX,INFLUX (Indianapolis Flux Experiment),United States,39.5805,-86.4207,-9999.99,NOAA,aircraft-flask,351,2010.8,2016.4,ch4_INX_aircraft_event_NOAA.nc
INX,INFLUX (Indianapolis Flux Experiment),United States,39.5805,-86.4207,-9999.99,NOAA,surface-flask,2274,2010.8,2019.8,ch4_INX_surface_event_NOAA.nc
IPR,Ispra,Italy,45.807,8.63,223.0,IES,surface-insitu,57560,2007.8,2017.0,ch4_IPR_surface_hourly_IES.nc
ITN,"Grifton, North Carolina",United States,35.365,-77.393,8.0,NOAA,surface-flask,1181,1992.6,1999.4,ch4_ITN_surface_event_NOAA.nc
IZO,"Izana, Tenerife, Canary Islands",Spain,28.309,-16.499,2372.9,NOAA,surface-flask,2469,1991.9,2019.9,ch4_IZO_surface_event_NOAA.nc
IZO,"Izana, Tenerife, Canary Islands",Spain,28.309,-16.499,2372.9,AEMET,surface-insitu,128066,2000.0,2017.0,ch4_IZO_surface_hourly_AEMET.nc
JFJ,Jungfraujoch,Switzerland,46.55,7.987,3570.0,MPI-BGC,surface-flask,615,2008.0,2017.7,ch4_JFJ_surface_event_MPI-BGC.nc
JFJ,Jungfraujoch,Switzerland,46.55,7.987,3570.0,EMPA,surface-insitu,100363,2005.1,2018.0,ch4_JFJ_surface_hourly_EMPA.nc
KAS,"Kasprowy Wierch, High Tatra",Poland,49.2325,19.9818,1989.0,AGH,surface-insitu,24909,2009.1,2013.0,ch4_KAS_surface_hourly_AGH.nc
KCO,Kaashidhoo,Republic of Maldives,4.97,73.47,1.0,NOAA,surface-flask,89,1998.2,1999.5,ch4_KCO_surface_event_NOAA.nc
KEY,"Key Biscayne, Florida",United States,25.6654,-80.158,1.0,NOAA,surface-flask,2869,1983.8,2019.9,ch4_KEY_surface_event_NOAA.nc
KJO,Kjölnes,Norway,70.8531,29.2358,5.0,MPI-BGC,surface-flask,94,2014.8,2016.1,ch4_KJO_surface_event_MPI-BGC.nc
KMP,Kumpula,Finland,60.2039,24.9608,26.0,FMI,surface-insitu,64738,2010.1,2018.0,ch4_KMP_surface_hourly_FMI.nc
KOR,Akademik Korolev,N/A,-1.6,160.0,-9999.99,NOAA,surface-flask,99,1987.4,1987.6,ch4_KOR_surface_event_NOAA.nc
KPA,"Kitt Peak, Arizona",United States,32.0,-112.0,2083.0,NOAA,surface-flask,68,1983.3,1989.8,ch4_KPA_surface_event_NOAA.nc
KRS,Karasevoe,Russia,58.2456,82.4244,76.0,NIES,surface-insitu,135853,2004.7,2018.0,ch4_KRS_surface_hourly_NIES.nc
KUM,"Cape Kumukahi, Hawaii",United States,19.7371,-155.0116,0.3,NOAA,surface-flask,8279,1983.3,2020.0,ch4_KUM_surface_event_NOAA.nc
KZD,Sary Taukum,Kazakhstan,44.0839,76.8712,595.0,NOAA,surface-flask,1129,1997.8,2009.6,ch4_KZD_surface_event_NOAA.nc
KZM,Plateau Assy,Kazakhstan,43.25,77.88,2519.0,NOAA,surface-flask,1125,1997.8,2009.6,ch4_KZM_surface_event_NOAA.nc
LAC,LA Megacities,United States,34.0,-118.2,100.0,NOAA,surface-flask,753,2014.8,2017.8,ch4_LAC_surface_event_NOAA.nc
LAU,Lauder,New Zealand,-45.04,169.68,370.0,NIWA,surface-flask,358,2009.3,2018.0,ch4_LAU_surface_event_NIWA.nc
LAU,Lauder,New Zealand,-45.04,169.68,370.0,NIWA,surface-insitu,887,2007.0,2017.0,ch4_LAU_surface_hourly_NIWA.nc
LEF,"Park Falls, Wisconsin",United States,45.9451,-90.2732,472.0,NOAA,aircraft-flask,4468,1998.3,2020.1,ch4_LEF_aircraft_event_NOAA.nc
LEF,"Park Falls, Wisconsin",United States,45.9451,-90.2732,472.0,NOAA,surface-flask,6806,1994.9,2020.1,ch4_LEF_surface_event_NOAA.nc
LEF,"Park Falls, Wisconsin",United States,45.9451,-90.2732,472.0,NOAA,surface-insitu,192743,2010.7,2020.1,ch4_LEF_surface_hourly_NOAA.nc
LEW,"Lewisburg, Pennsylvania",United States,40.9447,-76.8789,161.0,NOAA,surface-flask,851,2013.2,2020.1,ch4_LEW_surface_event_NOAA.nc
LLB,"Lac La Biche, Alberta",Canada,54.9538,-112.4666,540.0,NOAA,surface-flask,463,2008.1,2013.2,ch4_LLB_surface_event_NOAA.nc
LLB,"Lac La Biche, Alberta",Canada,54.9538,-112.4666,540.0,EC,surface-insitu,75803,2007.3,2017.4,ch4_LLB_surface_hourly_EC.nc
LLE,Long Lines Expedition,N/A,-39.02,1.0,-9999.99,NOAA,surface-flask,39,1983.8,1984.1,ch4_LLE_surface_event_NOAA.nc
LLN,Lulin,Taiwan,23.47,120.87,2862.0,NOAA,surface-flask,1382,2006.6,2020.0,ch4_LLN_surface_event_NOAA.nc
LMP,Lampedusa,Italy,35.52,12.62,45.0,ENEA,surface-flask,745,2000.0,2015.0,ch4_LMP_surface_event_ENEA.nc
LMP,Lampedusa,Italy,35.52,12.62,45.0,NOAA,surface-flask,1157,2006.8,2019.9,ch4_LMP_surface_event_NOAA.nc
LMP,Lampedusa,Italy,35.52,12.62,45.0,ENEA,surface-insitu,30800,2014.0,2017.7,ch4_LMP_surface_hourly_ENEA.nc
LPO,Ile Grande,France,48.8036,-3.5839,10.0,LSCE,surface-flask,272,2004.9,2013.7,ch4_LPO_surface_event_LSCE.nc
MAA,"Mawson Station, Antarctica",Australia,-67.617,62.867,32.0,CSIRO,surface-flask,765,2000.0,2017.0,ch4_MAA_surface_event_CSIRO.nc
MBC,"Mould Bay, Northwest Territories",Canada,76.247,-119.3533,30.0,NOAA,surface-flask,1992,1983.3,1997.4,ch4_MBC_surface_event_NOAA.nc
MBO,Mt. Bachelor Observatory,United States,43.9775,-121.6861,2731.0,NOAA,surface-flask,1714,2011.8,2020.1,ch4_MBO_surface_event_NOAA.nc
MCI,Mid Continent Intensive,United States,40.25,-87.09,-9999.99,NOAA,aircraft-flask,184,2007.4,2009.0,ch4_MCI_aircraft_event_NOAA.nc
MCM,"McMurdo Station, Antarctica",United States,-77.83,166.6,11.0,NOAA,surface-flask,89,1985.9,1987.8,ch4_MCM_surface_event_NOAA.nc
MDM,Madonie Mountains,Italy,37.88,14.03,1650.0,ENEA,surface-flask,400,2005.2,2017.9,ch4_MDM_surface_event_ENEA.nc
MEX,High Altitude Global Climate Observation Center,Mexico,18.9841,-97.311,4464.0,NOAA,surface-flask,889,2009.0,2019.9,ch4_MEX_surface_event_NOAA.nc
MHD,"Mace Head, County Galway",Ireland,53.326,-9.899,5.0,LSCE,surface-flask,780,2000.0,2017.7,ch4_MHD_surface_event_LSCE.nc
MHD,"Mace Head, County Galway",Ireland,53.326,-9.899,5.0,NOAA,surface-flask,2700,1991.4,2020.0,ch4_MHD_surface_event_NOAA.nc
MHD,"Mace Head, County Galway",Ireland,53.326,-9.899,5.0,AGAGE,surface-highfreq,147292,2000.0,2017.7,ch4_MHD_surface_highfreq_AGAGE.nc
MHD,"Mace Head, County Galway",Ireland,53.326,-9.899,5.0,LSCE,surface-insitu,68168,2010.0,2018.1,ch4_MHD_surface_hourly_LSCE.nc
MID,"Sand Island, Midway",United States,28.21,-177.38,11.0,NOAA,surface-flask,3461,1985.3,2020.0,ch4_MID_surface_event_NOAA.nc
MKN,Mt. Kenya,Kenya,-0.0622,37.2972,3644.0,NOAA,surface-flask,315,2004.0,2011.5,ch4_MKN_surface_event_NOAA.nc
MLO,"Mauna Loa, Hawaii",United States,19.5362,-155.5763,3397.0,NOAA,surface-flask,6133,1983.3,2020.0,ch4_MLO_surface_event_NOAA.nc
MLO,"Mauna Loa, Hawaii",United States,19.5362,-155.5763,3397.0,NOAA,surface-insitu,271601,1987.3,2020.1,ch4_MLO_surface_hourly_NOAA.nc
